Class,Mean Intensity,Std Intensity,Mean R,Mean G,Mean B,Std R,Std G,Std B,Var R,Var G,Var B
q,82.1368,58.63584301,160.758,56.584,7.5772,69.51977155,68.33211649,15.93951192,4832.998636,4669.278144,254.0680402
q,86.72,45.24461515,161.6648,63.8968,7.6612,64.93055707,45.57523615,13.67026022,4215.977241,2077.10215,186.8760146
q,161.1564,32.4290231,209.9692,147.758,101.9832,39.26701735,33.06937308,36.53722099,1541.898651,1093.583436,1334.968518
q,91.6152,45.7653573,125.6964,82.7304,47.9012,59.41588531,43.85186103,29.74305026,3530.247427,1922.985716,884.6490386
q,162.2172,47.76994478,217.4148,151.742,71.328,41.09029497,52.66703178,62.20249847,1688.412341,2773.816236,3869.150816
q,88.194,76.25964833,115.964,81.1832,51.4136,82.96940342,77.3379547,62.95855252,6883.921904,5981.159238,3963.779335
q,168.768,36.61292362,230.2592,157.2276,66.8352,31.3281218,41.19090917,34.16790367,981.4512154,1696.690998,1167.445641
q,79.5244,71.7607177,107.4372,72.9732,39.9424,81.99461724,71.72199998,53.99157603,6723.117256,5144.045282,2915.090282
q,160.6656,54.46473517,211.1088,151.3608,76.2252,52.08245158,59.30315526,54.55702416,2712.581763,3516.864223,2976.468885
q,189.6196,42.47032489,242.3188,183.7916,81.3604,21.42337897,54.01015617,60.59785567,458.9611666,2917.096969,3672.100112
q,113.1776,63.55670585,188.5628,91.3672,27.8276,64.61945571,73.53501183,35.5799758,4175.674056,5407.397964,1265.934678
q,90.8156,69.59672404,146.8752,74.6688,26.8948,73.41303171,76.65557192,35.36267712,5389.473225,5876.076707,1250.518933
q,116.7848,55.51821403,194.8452,95.8224,20.0344,64.81433512,61.58027978,27.43513836,4200.898037,3792.130858,752.6868166
q,187.6652,21.3416098,251.536,182.5832,46.2404,5.377574174,28.5814044,42.27618961,28.918304,816.8966778,1787.276208
q,190.4268,27.91919486,249.2536,184.9964,64.0504,8.993046594,38.44868251,40.23409325,80.87488704,1478.301187,1618.78226
q,63.5652,52.15904283,98.616,54.2068,19.8224,84.3436906,45.72809239,17.77151817,7113.858144,2091.058434,315.8268582
q,43.5584,34.39675841,61.8224,38.8012,20.048,53.15977105,30.16443069,19.70616391,2825.961258,909.8928786,388.332896
q,130.9396,46.43365969,197.0568,112.8796,50.556,62.13476301,47.68028842,21.51830068,3860.728774,2273.409904,463.037264
q,79.2556,40.26502041,132.3792,61.442,31.6152,72.94144643,33.51262801,17.77055792,5320.454607,1123.096236,315.792729
q,113.6852,37.07721269,168.8456,97.2432,53.6668,55.88162632,34.22794259,20.99835655,3122.756161,1171.552054,440.9309778
q,116.4032,35.8039974,186.754,95.0456,41.84,53.52035019,36.2918327,18.07774322,2864.427884,1317.097121,326.8048
q,90.598,54.72514957,154.3732,70.5672,26.4364,84.36607566,49.32305631,20.38311936,7117.634722,2432.763884,415.471555
q,149.508,17.26727355,243.1776,119.5432,58.162,16.56305703,23.11226804,7.928212661,274.3348582,534.1769338,62.856556
q,171.6036,10.94660071,250.6108,153.466,57.8212,4.923344733,16.93420338,7.149351758,24.23932336,286.767244,51.11323056
q,152.4064,37.84015379,225.97,133.788,55.2456,41.6408009,42.70715931,13.66664848,1733.9563,1823.901456,186.7772806
q,108.6892,26.92492903,188.928,79.7972,47.1416,38.94899763,24.54434501,15.88684832,1517.024416,602.4248722,252.3919494
q,62.7324,53.3304115,100.508,50.4188,27.1072,74.80201291,50.08168734,24.77344764,5595.341136,2508.175407,613.7237082
q,115.1108,26.52801017,203.278,84.4188,41.9596,39.30398346,24.55938531,12.40710957,1544.803116,603.1634066,153.9363678
q,111.856,46.46824361,153.9948,99.9292,62.6512,71.45320408,41.7244603,25.16446579,5105.560373,1740.930587,633.2503386
q,123.1032,42.17159885,212.7208,99.3568,10.5432,29.88695447,55.32725814,26.18274496,893.2300474,3061.105494,685.5361338
q,127.202,65.86315811,172.404,116.7304,62.4572,75.59958719,68.32387076,41.01077137,5715.297584,4668.151316,1681.883368
q,64.224,44.99185953,98.938,53.7456,27.1976,74.5835247,36.52930988,18.81450914,5562.702156,1334.390481,353.9857542
q,117.4512,35.73815354,186.9796,97.726,36.7368,59.94567527,29.47467598,13.47725216,3593.483984,868.756524,181.6363258
q,158.7692,40.1747773,240.988,145.8484,9.7816,21.0944698,59.65242508,17.10986562,444.976656,3558.411817,292.7475014
q,124.0908,17.69398077,235.2124,90.9044,3.7208,18.7891481,21.19669929,4.512521176,353.0320862,449.3000606,20.36284736
q,132.3808,50.23833388,210.3744,114.014,22.5436,43.65022594,62.56365881,24.82268517,1905.342225,3914.211404,616.165699
q,126.3772,23.38143965,232.0528,95.986,5.9828,21.40266367,29.50987977,7.802467825,458.0740122,870.833004,60.87850416
q,47.54,36.44261791,59.8556,44.62,30.2112,39.74607841,36.93575503,34.92137733,1579.750749,1364.25,1219.502595
q,53.6704,15.11095509,59.8876,50.9284,51.4316,17.14175505,14.82492743,15.0274323,293.8397662,219.7784734,225.8237214
q,78.0104,19.6083628,139.5392,57.7112,21.1764,38.20125212,16.51304316,17.46437755,1459.335663,272.6805946,305.004483
q,81.6404,24.58125887,133.8248,65.0656,30.2404,51.15163834,21.56038257,23.49829372,2616.490105,464.8500966,552.1698078
q,75.1752,22.4184501,97.6604,67.2276,56.9236,32.79475982,20.69467077,23.85848619,1075.496272,428.2693982,569.227363
q,81.8724,35.00395575,100.3564,75.0852,68.39,42.10321341,33.10491717,33.53979577,1772.680579,1095.935541,1124.9179
q,36.612,32.83848742,51.1108,32.7532,18.3684,48.18688746,29.84576837,19.09493863,2321.976123,890.7698898,364.6166814
q,58.1712,30.176552,81.892,52.0244,27.57,38.38459503,28.88380523,23.15482455,1473.377136,834.2742046,536.1459
q,41.5544,23.70812183,59.06,37.0632,18.7696,31.84690252,22.45158359,17.30772417,1014.2252,504.0736058,299.5573158
q,70.4668,39.66806395,82.2348,66.7832,58.6368,47.01724438,39.56423888,41.43166043,2210.621269,1565.328998,1716.582486
q,65.2304,35.32702812,95.696,55.8904,33.3764,56.14130373,31.57230413,25.86926213,3151.845984,996.8103878,669.218723
q,63.0868,33.05025364,100.2064,51.3308,26.2616,53.8903906,28.85125598,21.39812061,2904.174199,832.3949714,457.8795654
q,93.904,37.05824043,158.2884,75.43,20.1544,60.82317671,33.40712948,17.94108583,3699.458825,1116.0363,321.8825606
q,87.47,14.08268085,116.1284,77.2944,64.6648,25.27930208,11.60550424,10.57035671,639.0431134,134.6877286,111.732441
